PMY,Replicate,Halo
PMY2816,3,
PMY2817,1,8.001
PMY2817,2,4.941
PMY2817,3,7.0089999999999995
PMY2818,1,2.7010000000000005
PMY2818,2,1.66
PMY2818,3,1.38
PMY2819,1,7.6160000000000005
PMY2819,2,5.6259999999999994
PMY2819,3,7.946000000000001
PMY2820,1,0.6999999999999998
PMY2820,2,1.35
PMY2820,3,0.6890000000000001
PMY2821,1,7.851999999999999
PMY2821,2,1.6840000000000002
PMY2821,3,8.019
PMY2822,1,7.0489999999999995
PMY2822,2,7.059
PMY2822,3,2.102
PMY2823,1,6.957
PMY2823,2,2.942
PMY2823,3,5.716000000000001
PMY2824,1,2.025
PMY2824,2,1.064
PMY2824,3,1.032
PMY2825,1,2.1530000000000005
PMY2825,2,0.7989999999999999
PMY2825,3,2.098
PMY2826,1,4.001
PMY2826,2,6.313
PMY2826,3,4.874
PMY2827,1,0.569
PMY2827,2,1.549
PMY2827,3,0.581
PMY2828,1,1.5250000000000001
PMY2828,2,6.909999999999999
PMY2828,3,4.298
PMY2829,1,1.064
PMY2829,2,1.9169999999999998
PMY2829,3,1.039
PMY2830,1,7.157
PMY2830,2,1.7339999999999998
PMY2830,3,7.441
PMY2831,1,1.7959999999999998
PMY2831,2,2.923
PMY2831,3,0.7350000000000001
PMY2832,1,1.8039999999999998
PMY2832,2,3.843
PMY2832,3,4.039
PMY2833,1,0.48400000000000004
PMY2833,2,0.653
PMY2833,3,1.2580000000000002
PMY2834,1,2.501
PMY2834,2,5.767999999999999
PMY2834,3,2.5860000000000003
PMY2835,1,1.8979999999999997
PMY2835,2,6.879999999999999
PMY2835,3,2.6540000000000004
PMY2836,1,0.5880000000000001
PMY2836,2,
PMY2836,3,0.571
PMY2837,1,2.225
PMY2837,2,7.683000000000001
PMY2837,3,4.354
PMY2838,1,0.9549999999999998
PMY2838,2,1.342
PMY2838,3,2.341
PMY2839,1,0.5679999999999998
PMY2839,2,0.9299999999999999
PMY2839,3,0.47800000000000004
PMY2840,1,3.532
PMY2840,2,8.115
PMY2840,3,2.629
PMY2841,1,0.448
PMY2841,2,0.8819999999999999
PMY2841,3,0.665
PMY2842,1,
PMY2842,2,4.176
PMY2842,3,8.136
PMY2843,1,0.7020000000000002
PMY2843,2,1.226
PMY2843,3,0.701
PMY2844,1,7.194999999999999
PMY2844,2,2.0629999999999997
PMY2844,3,7.272
PMY2845,1,6.960000000000001
PMY2845,2,3.56
PMY2845,3,7.887
PMY2846,1,2.1889999999999996
PMY2846,2,1.033
PMY2846,3,2.63
PMY2847,1,4.9830000000000005
PMY2847,2,4.829
PMY2847,3,7.226
PMY2848,1,3.142
PMY2848,2,8.019
PMY2848,3,5.526999999999999
PMY2849,1,3.086
PMY2849,2,6.768
PMY2849,3,2.948
PMY2850,1,0.9560000000000002
PMY2850,2,1.8190000000000002
PMY2850,3,0.773
PMY2851,1,0.7769999999999999
PMY2851,2,0.7870000000000001
PMY2851,3,0.7290000000000001
PMY2852,1,7.585000000000001
PMY2852,2,4.95
PMY2852,3,6.581
PMY2853,1,7.16
PMY2853,2,3.856
PMY2853,3,7.713
PMY2854,1,1.5870000000000002
PMY2854,2,5.975
PMY2854,3,3.486
PMY2855,1,7.703
PMY2855,2,3.691
PMY2855,3,7.749999999999998
PMY2856,1,1.547
PMY2856,2,0.6669999999999999
PMY2856,3,1.369
PMY2857,1,1.5169999999999997
PMY2857,2,1.4669999999999999
PMY2857,3,1.3809999999999998
PMY2858,1,1.5460000000000003
PMY2858,2,4.484
PMY2858,3,5.858999999999999
PMY2859,1,4.255
PMY2859,2,1.64
PMY2859,3,3.675
PMY2860,1,4.1259999999999994
PMY2860,2,7.699
PMY2860,3,4.603
PMY2861,1,1.0999999999999999
PMY2861,2,2.439
PMY2861,3,0.9569999999999999
PMY2862,1,0.718
PMY2862,2,1.4280000000000002
PMY2862,3,0.7989999999999999
PMY2864,1,1.524
PMY2864,2,0.811
PMY2864,3,1.8249999999999997
PMY2865,1,0.898
PMY2865,2,0.319
PMY2865,3,0.7060000000000001
PMY2866,1,5.814
PMY2866,2,7.412000000000001
PMY2866,3,5.8549999999999995
PMY2867,1,3.931
PMY2867,2,2.86
PMY2867,3,4.566
PMY2868,1,6.546
PMY2868,2,4.234
PMY2868,3,3.803
PMY2869,1,0.5329999999999999
PMY2869,2,0.40499999999999997
PMY2869,3,0.652
PMY2870,1,2.2709999999999995
PMY2870,2,3.268
PMY2870,3,6.433
PMY2871,1,1.995
PMY2871,2,0.9609999999999997
PMY2871,3,2.107
PMY2872,1,4.699
PMY2872,2,8.439
PMY2872,3,7.792
PMY2873,1,5.281999999999999
PMY2873,2,8.302000000000001
PMY2873,3,3.969
PMY2874,1,0.573
PMY2874,2,1.25
PMY2874,3,0.49200000000000005
PMY2875,1,3.2190000000000003
PMY2875,2,3.986
PMY2875,3,3.3710000000000004
PMY2876,1,1.049
PMY2876,2,1.354
PMY2876,3,1.25
PMY2877,1,6.011
PMY2877,2,3.5049999999999994
PMY2877,3,4.939
PMY2878,1,7.6499999999999995
PMY2878,2,2.056
PMY2878,3,4.869
PMY2879,1,1.164
PMY2879,2,3.9690000000000003
PMY2879,3,2.081
PMY2880,1,1.3280000000000003
PMY2880,2,1.029
PMY2880,3,1.0350000000000001
PMY2881,1,7.761
PMY2881,2,7.549
PMY2881,3,5.394000000000001
PMY2882,1,
PMY2882,2,1.3290000000000002
PMY2882,3,3.055
PMY2883,1,5.1080000000000005
PMY2883,2,6.64
PMY2883,3,6.071
PMY2884,1,5.121
PMY2884,2,8.234
PMY2884,3,4.358
PMY2885,1,0.9590000000000001
PMY2885,2,0.7000000000000001
PMY2885,3,1.021
PMY2886,1,2.186
PMY2886,2,4.852
PMY2886,3,6.361999999999999
PMY2887,1,0.9830000000000001
PMY2887,2,0.37099999999999994
PMY2887,3,0.9420000000000001
PMY2888,1,2.825
PMY2888,2,2.995
PMY2888,3,1.6949999999999998
PMY2889,1,0.6970000000000001
PMY2889,2,1.1219999999999999
PMY2889,3,0.783
PMY2890,1,1.0859999999999999
PMY2890,2,2.968
PMY2890,3,1.584
PMY2891,1,4.084
PMY2891,2,5.6080000000000005
PMY2891,3,4.029999999999999
PMY2892,1,4.239
PMY2892,2,4.0920000000000005
PMY2892,3,6.92
PMY2893,1,1.514
PMY2893,2,0.9850000000000001
PMY2893,3,0.9019999999999999
PMY2894,1,1.865
PMY2894,2,0.696
PMY2894,3,1.8239999999999998
PMY2895,1,3.7490000000000006
PMY2895,2,1.766
PMY2895,3,3.47
PMY2896,1,2.229
PMY2896,2,1.9809999999999999
PMY2896,3,5.548
PMY2897,1,1.124
PMY2897,2,0.843
PMY2897,3,1.279
PMY2898,1,4.926
PMY2898,2,2.407
PMY2898,3,4.542000000000001
PMY2899,1,5.3629999999999995
PMY2899,2,5.234000000000001
PMY2899,3,3.544
PMY2901,1,7.835000000000001
PMY2901,2,8.085
PMY2901,3,4.242000000000001
PMY2902,1,1.1879999999999997
PMY2902,2,1.184
PMY2902,3,1.673
PMY2903,1,1.694
PMY2903,2,1.654
PMY2903,3,1.2129999999999996
PMY2904,1,2.037
PMY2904,2,4.529999999999999
PMY2904,3,1.4980000000000002
PMY2905,1,0.923
PMY2905,2,1.599
PMY2905,3,0.9909999999999999
PMY2906,1,8.081
PMY2906,2,7.84
PMY2906,3,5.5520000000000005
PMY2907,1,7.589
PMY2907,2,6.555
PMY2907,3,7.894
PMY2908,1,7.524
PMY2908,2,7.106
PMY2908,3,4.225
