"";"Strains";"Replicate";"Day";"Area";"Mean";"Min";"Max";"cleared";"plate_coverage";"age";"date"
"244";"40";1;9;0,163;39120,806;33909;57301;0;NA;NA;"10_29_2019"
"245";"43";2;9;5,388;35781,119;3;65535;0;NA;NA;"10_29_2019"
"246";"43";1;9;3,729;35645,203;3;65533;0;NA;NA;"10_29_2019"
"247";"42";2;9;5,012;34827,511;4;65534;1;NA;NA;"10_29_2019"
"248";"42";1;9;4,274;35013,396;7;65533;1;NA;NA;"10_29_2019"
"249";"45";2;9;1,077;36133,037;31496;51558;0;NA;NA;"10_29_2019"
"250";"45";1;9;0,697;40880,221;32740;62779;0;NA;NA;"10_29_2019"
"251";"44";2;9;1,169;35325,81;31464;51982;1;NA;NA;"10_29_2019"
"252";"44";1;9;1,086;35471,34;28274;52998;1;NA;NA;"10_29_2019"
"253";"41";2;10;3,683;34432,135;12;65535;1;NA;NA;"10_29_2019"
"254";"41";1;10;1,565;34985,448;3;65530;1;NA;NA;"10_29_2019"
"255";"40";2;10;0,563;35487,144;55;65510;0;NA;NA;"10_29_2019"
"256";"40";1;10;0,166;38559,108;87;65449;0;NA;NA;"10_29_2019"
"257";"43";2;10;6,786;35656,051;22704;65535;0;NA;NA;"10_29_2019"
"258";"43";1;10;5,221;35923,723;31567;59911;0;NA;NA;"10_29_2019"
"259";"42";2;10;6,796;34947,332;24231;56944;1;NA;NA;"10_29_2019"
"260";"42";1;10;5,777;35203,986;26574;60143;1;NA;NA;"10_29_2019"
"261";"45";2;10;1,332;36130,135;55;65517;0;NA;NA;"10_29_2019"
"262";"45";1;10;0,644;40997,929;24;65526;0;NA;NA;"10_29_2019"
"263";"44";2;10;1,47;35301,351;24;65513;1;NA;NA;"10_29_2019"
"264";"44";1;10;1,303;35443,65;27;65533;1;NA;NA;"10_29_2019"
"265";"41";2;11;4,731;34653,617;7;65525;1;NA;NA;"10_29_2019"
"266";"41";1;11;2,002;35235,3;31217;51624;1;NA;NA;"10_29_2019"
"267";"40";2;11;0,655;35752,963;31795;44929;0;NA;NA;"10_29_2019"
"268";"40";1;11;0,15;39361,966;34681;51262;0;NA;NA;"10_29_2019"
"269";"43";2;11;8,073;35726,156;19162;65535;0;NA;NA;"10_29_2019"
"270";"43";1;11;6,878;35980,53;23410;65535;0;NA;NA;"10_29_2019"
"271";"42";2;11;8,016;35142,097;21997;54473;1;NA;NA;"10_29_2019"
"272";"42";1;11;7,288;35541,445;26975;64621;1;NA;NA;"10_29_2019"
"273";"45";2;11;1,619;36356,222;31734;51600;0;NA;NA;"10_29_2019"
"274";"45";1;11;0,616;40629,613;31953;62567;0;NA;NA;"10_29_2019"
"275";"44";2;11;1,893;35493,952;31919;47907;1;NA;NA;"10_29_2019"
"276";"44";1;11;1,596;35741,639;30885;52897;1;NA;NA;"10_29_2019"
"277";"41";2;12;5,773;34669,22;27169;65535;1;NA;NA;"10_29_2019"
"278";"41";1;12;2,568;35555,312;31714;52798;1;NA;NA;"10_29_2019"
"279";"40";2;12;0,787;35967,419;32007;61012;0;NA;NA;"10_29_2019"
"280";"40";1;12;0,148;39419,358;33715;53277;0;NA;NA;"10_29_2019"
"281";"43";2;12;8,39;35873,198;22888;65535;0;NA;NA;"10_29_2019"
"282";"43";1;12;8,235;36075,631;20776;65535;0;NA;NA;"10_29_2019"
"283";"42";2;12;8,541;35365,232;3;65533;1;NA;NA;"10_29_2019"
"284";"42";1;12;8,401;35500,617;4;65535;1;NA;NA;"10_29_2019"
"285";"45";2;12;1,927;36408,141;30920;65535;0;NA;NA;"10_29_2019"
"286";"45";1;12;0,749;41214,692;32160;62787;0;NA;NA;"10_29_2019"
"287";"44";2;12;2,435;35535,433;31688;51472;1;NA;NA;"10_29_2019"
"288";"44";1;12;1,963;35895,604;28967;52011;1;NA;NA;"10_29_2019"
"289";"25";2;1;0,164;19264,89;18651;22788;0;NA;NA;"10_29_2019"
"290";"25";1;1;0,238;19414,365;18559;25708;0;NA;NA;"10_29_2019"
