Strain,Replicate,Stack,passage,plate,Area.1,Area.12
B358,2,1,5,2_2-1_2_secondhalf,1.3290296,4.161282000000001
B358,3,1,9,2_3-1_3_secondhalf,1.645158,22.806406000000003
B360,1,4,11,p1_1,5.5677308,7.206437199999999
B360,2,1,5,2_2-1_2_secondhalf,3.7935407999999997,27.2451068
B360,3,2,9,2_3-1_3_secondhalf,1.2516104000000001,10.690301200000002
B364,1,3,11,p1_1,0.999998,30.5999388
B364,3,2,9,2_3-1_3_secondhalf,1.6645128,7.8903067999999985
B366,2,1,5,2_2-1_2_secondhalf,1.0903204,4.4387008
B366,3,5,9,2_3-1_3_secondhalf,1.161288,12.387072
B368,1,4,11,p1_1,1.7806416000000005,5.354828
B368,2,4,5,2_2-1_2_secondhalf,2.0774152000000004,7.8967583999999995
B368,3,2,9,2_3-1_3_secondhalf,1.0516108,9.477400399999999
B369,1,3,11,p1_1,2.064512,52.574088399999994
B369,2,5,5,2_2-1_2_secondhalf,2.4128984,28.399943200000006
B369,3,1,7,2_3-1_3_firsthalf,1.2193524,44.612814
B373,1,5,10,p2_1,2.3483824000000006,7.019340800000002
B373,1,2,11,p1_1,2.1806408000000004,9.290304
B373,3,4,7,2_3-1_3_firsthalf,2.5096724,7.1354696
B374,1,5,11,p1_1,3.8838631999999995,4.658055200000002
B374,2,5,4,2_2-1_2_firsthalf,6.5096643999999975,1.9935444000000009
B374,3,2,7,2_3-1_3_firsthalf,4.3354752,1.5677387999999999
B376,1,4,11,p1_1,1.4193520000000002,49.509578399999995
B377,1,1,10,p2_1,2.2709632,24.212854800000006
B377,2,4,4,2_2-1_2_firsthalf,1.9290283999999998,8.516111999999998
B377,2,1,5,2_2-1_2_secondhalf,1.6258031999999998,36.096702
B378,1,3,11,p1_1,5.7161176,13.419328000000004
B378,2,4,4,2_2-1_2_firsthalf,6.290309999999999,4.916119200000001
B379,1,5,11,p1_1,1.5548355999999999,21.877375600000004
B379,2,3,4,2_2-1_2_firsthalf,0.8903208000000002,31.445098399999992
B379,3,3,7,2_3-1_3_firsthalf,1.4967712000000002,7.2838564
B382,1,4,10,p2_1,3.4709608000000007,9.858044799999998
B382,2,1,4,2_2-1_2_firsthalf,4.5935391999999995,3.5483800000000003
B383,2,5,4,2_2-1_2_firsthalf,2.5999948000000006,5.987084799999999
B383,2,3,5,2_2-1_2_secondhalf,0.66451479999999985,8.2967576
B383,3,3,7,2_3-1_3_firsthalf,3.0903163999999994,3.4387028
B387,1,3,11,p1_1,3.2451548000000003,14.154810400000002
B387,2,2,5,2_2-1_2_secondhalf,2.870962,7.045147199999998
B387,3,2,7,2_3-1_3_firsthalf,2.7483816000000005,13.2386832
B396,2,4,4,2_2-1_2_firsthalf,2.0451572,19.135445599999997
B396,3,4,7,2_3-1_3_firsthalf,1.3612876000000003,24.322532
B397,1,2,11,p1_1,2.2387051999999996,18.5289952
B397,3,2,9,2_3-1_3_secondhalf,2.4451564,7.825790800000001
B399,1,2,11,p1_1,2.6580591999999994,10.729010800000003
B399,2,4,4,2_2-1_2_firsthalf,1.5612872,6.954824799999999
B399,3,1,9,2_3-1_3_secondhalf,2.2387051999999996,NA
B407,1,3,11,p1_1,1.3225779999999996,4.8580548
B407,2,4,4,2_2-1_2_firsthalf,3.9806372,NA
B407,3,3,9,2_3-1_3_secondhalf,0.9483851999999999,1.2193524000000004
B410,1,4,10,p2_1,0.96774,5.774182
B410,2,1,4,2_2-1_2_firsthalf,0.7483856000000001,5.7612788
B518,1,4,10,p2_1,1.9225767999999996,10.129011999999998
B553,2,1,5,2_2-1_2_secondhalf,0.6516116000000002,44.61926560000001
B553,3,4,7,2_3-1_3_firsthalf,0.7225792000000001,3.8774116000000003
